User,Average ratings on beaches,Average ratings on parks,Average ratings on malls,Average ratings on beauty & spas,Average ratings on cafes,,,
1,3.65,5,2.35,0,0,,,
2,3.65,5,2.64,0,0,,,
3,3.63,5,2.64,0,0,,,
4,3.63,5,2.35,0,0,,,
5,3.63,5,2.64,0,0,,,
6,3.63,5,2.63,0,0,,,
7,3.63,5,2.35,0,0,,,1067
8,3.63,5,2.63,0,0,,,
9,3.64,5,2.62,0,0,,,
10,3.64,5,2.35,0,0,,,
11,3.67,5,2.61,0,0,,,
12,3.68,5,2.61,0,0,,,
13,3.68,5,2.61,0,0,,,
14,3.67,5,2.32,0,0,,,
15,3.66,2.95,2.33,0,0,,,
16,3.66,2.95,2.98,0,0,,,
17,3.66,2.96,2.98,0,0,,,
18,3.66,2.95,3,0,0,,,
19,3.66,2.96,2.99,0,0,,,
20,3.66,2.95,2.99,0,0,,,
21,3.67,2.94,2.98,0,0,,,
22,3.66,2.94,3,0,0,,,
23,3.66,2.95,3,0,0,,,
24,3.66,2.95,2.97,0,0,,,
25,3.66,2.96,2.63,0,0,,,
26,3.66,2.95,2.96,0,0,,,
27,3.66,2.95,2.63,0,0,,,
28,3.67,2.95,2.63,0,0,,,
29,3.67,2.95,2.63,0,0,,,
30,3.67,2.96,2.63,0,0,,,
31,3.67,2.95,2.63,0,0,,,
32,3.67,2.95,2.63,0,0,,,
33,3.67,2.95,2.96,0,0,,,
34,3.67,2.96,2.96,0,0,,,
35,3.67,2.96,3.47,0,0,,,
36,3.68,2.96,3.05,0,0,,,
37,3.68,2.96,3.74,0,0,,,
38,3.69,5,2.96,0,0,,,
39,3.7,2.97,2.99,0,0,,,
40,3.7,5,2.6,0.5,0,,,
41,3.71,5,2.59,0.5,0,,,
42,3.71,5,2.58,0.51,0.5,,,
43,3.72,5,2.58,0.52,0.51,,,
44,3.73,3.76,1.66,0.53,0.52,,,
45,3.73,3.78,2.96,0.54,0.53,,,
46,3.74,3.79,2.95,0.55,0.54,,,
47,3,3.79,2.96,0.56,0.54,,,
48,3,3.77,2.95,0.58,0.55,,,
49,3,3.77,2.95,0.6,0.56,,,
50,3,3.77,2.95,0.61,0.57,,,
51,3.77,3.77,2.96,0.51,0.57,,,
52,3.78,3.77,3.67,5,0.58,,,
53,3.79,3.78,5,0.5,0.59,,,
54,3.83,3.79,5,0.5,0.6,,,
55,5,3.79,5,0.5,0.62,,,
56,5,3.8,5,0.5,0.75,,,
57,5,3.83,5,0.5,0.63,,,
58,5,3.81,5,0.65,0.77,,,
59,5,3.81,2.96,0.5,5,,,
60,5,3.81,2.9,0.5,5,,,
61,5,3.82,2.95,5,0.66,,,
62,5,3.82,2.94,0.69,0.67,,,
63,5,3.83,2.93,0.7,0.68,,,
64,5,3.83,2.93,0.51,0.69,,,
65,5,3.84,2.93,0.51,0.7,,,
66,5,3.84,2.93,0.52,0.71,,,
67,5,3.84,2.93,0.51,0.71,,,
68,0.83,3.85,2.92,0.51,0.72,,,
69,0.85,3.85,2.92,0.75,0.73,,,
70,5,3.86,2.91,0.52,0.75,,,
71,0.86,3.87,2.91,0.53,0.76,,,
72,0.88,3.87,2.91,0.53,0.78,,,
73,0.9,3.88,2.9,0.53,5,,,
74,5,3.88,2.9,0.53,5,,,
75,4.64,3.89,2.89,0.54,5,,,
76,4.64,3.9,2.88,0.55,5,,,
77,4.64,3.9,2.88,0.55,0.86,,,
78,4.64,3.91,2.87,0.55,5,,,
79,4.64,3.92,2.86,0.56,5,,,
80,4.64,3.93,2.86,0.57,5,,,
81,4.64,3.93,2.85,0.57,5,,,
82,4.64,3.94,2.84,0.58,5,,,
83,4.65,3.95,2.84,0.58,5,,,
84,4.65,3.96,2.83,0.59,5,,,
85,4.65,3.97,2.82,0.6,5,,,
86,5,3.97,2.81,0.6,5,,,
87,5,3.98,2.81,0.61,5,,,
88,5,3.99,2.8,0.62,0.73,,,
89,5,4,2.79,0.62,0.75,,,
90,4.66,4,2.79,0.63,5,,,
91,4.66,4.01,2.78,0.64,5,,,
92,4.67,4.02,2.77,0.64,0.8,,,
93,4.67,4.02,2.76,0.65,5,,,
94,4.66,4.03,2.76,0.66,5,,,
95,4.67,4.08,2.75,0.66,5,,,
96,4.67,4.1,2.74,0.67,0.83,,,
97,4.67,4.09,2.74,0.68,0.81,,,
98,4.68,4.09,2.73,0.68,0.82,,,
99,4.68,4.09,2.73,0.69,5,,,
100,4.68,4.1,2.73,0.69,5,,,
101,5,4.89,2.73,0.69,0.84,,,
102,1.34,4.1,2.73,0.7,0.79,,,
103,1.34,4.1,2.73,0.7,0.78,,,
104,1.34,4.9,2.73,0.69,0.79,,,
105,1.34,4.89,2.73,0.7,0.79,,,
106,1.33,4.89,2.73,0.69,0.77,,,
107,1.33,4.9,2.73,0.7,0.77,,,
108,1.34,4.9,2.73,0.7,0.78,,,
109,1.33,4.89,2.74,0.7,0.78,,,
110,1.33,4.09,2.74,0.71,0.78,,,
111,1.33,4.89,2.74,0.68,0.7,,,
112,1.33,1.35,2.75,0.67,0.69,,,
113,1.33,1.35,2.83,0.67,0.68,,,
114,1.33,1.35,2.83,0.66,0.68,,,
115,1.33,4.69,2.83,0.65,0.68,,,
116,1.33,4.7,2.83,0.65,0.67,,,
117,1.33,4.7,2.85,0.65,0.68,,,
118,1.36,4.7,2.76,0.65,5,,,
119,1.37,1.35,5,0.65,0.7,,,
120,1.33,1.35,5,0.64,0.66,,,
121,1.33,1.35,5,0.65,0.65,,,
122,1.33,1.35,5,0.65,0.65,,,
123,1.33,1.34,5,0.65,0.64,,,
124,1.33,1.34,5,0.65,0.64,,,
125,1.33,1.34,5,0.64,0.64,,,
126,1.34,1.35,5,0.64,0.63,,,
127,1.28,1.3,4.79,0.65,0.63,,,
128,1.34,1.35,1.42,0.65,0.64,,,
129,1.35,1.35,1.42,0.68,0.64,,,
130,1.38,1.35,1.41,0.65,0.64,,,
131,5,1.35,1.41,0.65,0.74,,,
132,1.36,1.35,1.41,0.65,0.64,,,
133,1.36,1.35,1.4,0.66,0.64,,,
134,1.28,1.35,1.41,0.65,0.64,,,
135,1.36,1.35,1.4,0.65,0.64,,,
136,1.36,1.36,1.4,0.66,0.64,,,
137,1.37,1.36,1.41,0.66,0.64,,,
138,1.36,1.35,1.41,0.66,0.64,,,
139,1.36,1.35,1.41,0.66,0.64,,,
140,1.36,1.36,1.42,0.66,0.65,,,
141,1.37,1.36,1.41,0.67,0.65,,,
142,1.29,1.36,1.41,0.68,0.66,,,
143,1.3,1.37,1.41,0.69,0.68,,,
144,1.31,1.37,1.43,0.71,0.69,,,
145,1.32,1.38,1.43,0.72,0.71,,,
146,1.33,1.39,4.09,0.74,0.72,,,
147,1.35,1.39,4.08,0.76,0.74,,,
148,1.36,1.4,4.07,0.78,0.75,,,
149,1.38,1.4,4.07,0.79,0.77,,,
150,1.4,1.41,4.06,0.81,0.79,,,
151,1.41,1.42,4.05,0.83,0.81,,,
152,1.43,1.43,4.04,0.86,0.83,,,
153,1.44,1.43,4.04,0.88,0.85,,,
154,1.47,1.44,4.03,0.89,0.87,,,
155,1.48,1.45,4.02,0.92,0.89,,,
156,1.5,1.45,4.01,0.93,0.91,,,
157,1.52,1.46,4.01,0.95,0.94,,,
158,1.54,1.47,4,0.97,0.96,,,
159,1.56,1.53,3.99,0.99,0.98,,,
160,1.57,1.54,3.99,1.01,1,,,
161,1.59,1.55,3.98,1.04,1.01,,,
162,1.61,1.56,3.97,1.28,1.03,,,
163,1.63,1.56,3.97,1.29,1.06,,,
164,1.65,1.57,3.96,1.3,1.07,,,
165,1.66,1.58,3.96,1.11,1.09,,,
166,1.68,3.12,3.95,1.12,1.11,,,
167,1.69,3.11,5,1.15,1.12,,,
168,1.7,1.61,5,1.16,1.14,,,
169,1.72,2.37,5,1.17,1.15,,,
170,1.73,3.13,5,1.19,1.17,,,
171,1.76,2.37,5,1.21,1.39,,,
172,1.77,3.14,3.95,1.29,1.21,,,
173,1.78,3.16,4,1.04,1.41,,,
174,5,2.4,3.94,1.04,1.24,,,
175,1.67,2.4,3.98,1.05,1.26,,,
176,1.68,3.17,3.92,1.05,1.27,,,
177,1.69,3.18,3.92,1.06,1.29,,,
178,1.7,3.2,3.97,1.07,1.31,,,
179,1.71,3.19,5,1.08,1.32,,,
180,5,3.19,3.89,1.09,1.34,,,
181,5,3.19,3.89,1.09,1.36,,,
182,5,3.2,3.89,1.1,1.37,,,
183,1.92,3.2,3.96,1.09,1.51,,,
184,1.91,2.43,3.97,1.09,1.37,,,
185,1.91,3.21,3.97,1.08,1.37,,,
186,1.91,3.21,3.9,1.06,1.38,,,
187,1.91,2.43,5,1.06,1.38,,,
188,1.91,3.21,4.55,1.06,1.37,,,
189,1.91,3.21,4.54,1.06,1.37,,,
